id,key,value,type
10075854,highway,track,regular
10075854,cfcc,A51,tiger
10075854,county,"Box Elder, UT",tiger
10075854,reviewed,no,tiger
10075856,highway,residential,regular
10075856,cfcc,A41,tiger
10075856,county,"Box Elder, UT",tiger
10075856,reviewed,no,tiger
10075856,separated,no,tiger
10075856,source,tiger_import_dch_v0.6_20070830,tiger
10075856,tlid,153897970:153897971,tiger
10075856,upload_uuid,bulk_upload.pl-18e75e49-c466-4326-9afa-95168c41c76f,tiger
10075857,highway,residential,regular
10075857,cfcc,A41,tiger
10075857,county,"Box Elder, UT",tiger
10075857,reviewed,no,tiger
10075857,separated,no,tiger
10075857,source,tiger_import_dch_v0.6_20070830,tiger
10075857,tlid,153897972:153898247:153898250,tiger
10075857,upload_uuid,bulk_upload.pl-18e75e49-c466-4326-9afa-95168c41c76f,tiger
10075859,highway,residential,regular
10075859,name,Bonneville Shoreline Trail,regular
10075859,cfcc,A41,tiger
10075859,county,"Box Elder, UT",tiger
10075859,reviewed,no,tiger
10075997,access,private,regular
10075997,highway,service,regular
10075997,cfcc,A74,tiger
10075997,county,"Box Elder, UT",tiger
10075997,reviewed,no,tiger
10075997,source,tiger_import_dch_v0.6_20070830,tiger
10075997,tlid,153913098:153913099,tiger
10075997,upload_uuid,bulk_upload.pl-18e75e49-c466-4326-9afa-95168c41c76f,tiger
10076775,highway,residential,regular
10076775,cfcc,A41,tiger
10076775,county,"Box Elder, UT",tiger
10076775,reviewed,no,tiger
10076777,access,private,regular
10076777,highway,service,regular
10076777,cfcc,A74,tiger
10076777,county,"Box Elder, UT",tiger
10076777,reviewed,no,tiger
10076780,highway,residential,regular
10076780,cfcc,A41,tiger
10076780,county,"Box Elder, UT",tiger
10076780,reviewed,no,tiger
10076780,separated,no,tiger
10076780,source,tiger_import_dch_v0.6_20070830,tiger
10076780,tlid,153898429,tiger
10076780,upload_uuid,bulk_upload.pl-18e75e49-c466-4326-9afa-95168c41c76f,tiger
10076945,highway,residential,regular
10076945,cfcc,A41,tiger
10076945,county,"Box Elder, UT",tiger
10076945,reviewed,no,tiger
10076945,separated,no,tiger
10076945,source,tiger_import_dch_v0.6_20070830,tiger
10076945,tlid,153902511:153902131:153902655:153902129,tiger
10076945,upload_uuid,bulk_upload.pl-18e75e49-c466-4326-9afa-95168c41c76f,tiger
10076958,highway,unclassified,regular
10076958,cfcc,A41,tiger
10076958,county,"Box Elder, UT",tiger
10076958,reviewed,no,tiger
10076991,highway,track,regular
10076991,cfcc,A51,tiger
10076991,county,"Box Elder, UT",tiger
10076991,reviewed,no,tiger
10077112,highway,residential,regular
10077112,cfcc,A41,tiger
10077112,county,"Box Elder, UT",tiger
10077112,name_base,2000 W,tiger
10077112,name_type,Rd,tiger
10077112,reviewed,no,tiger
